No	EventID	REF_MCP_timestamp	DUT_MCP_timestamp	REF_MCP_maxY	DUT_MCP_maxY	REF_MCP_e_peak	DUT_MCP_e_peak	TrackerX	TrackerY	
96	115	156.9576	157.7103	1.5637	0.3131	8.3606	9.9655	0.0000	0.0000
97	116	155.3447	156.1727	0.3516	0.1256	1.9161	4.2618	27.4791	20.5671
98	117	171.5967	172.4484	1.3715	0.0742	7.4313	3.0218	24.8433	31.8890
99	118	163.1012	163.8666	1.6458	0.5084	8.8141	18.3659	25.6956	27.9239
100	120	164.9691	165.7690	1.3414	0.1632	7.1159	4.2536	25.1935	32.1453
101	121	159.5418	160.2731	2.0955	0.1901	11.3396	5.4039	24.3264	29.0823
102	122	175.5733	176.4324	1.4702	0.0948	7.7797	1.7487	20.4936	26.2560
103	123	29.0707	169.9837	0.0417	0.0633	0.1268	0.7593	0.0000	0.0000
104	124	179.5434	180.2922	1.9039	0.5431	10.1875	17.2964	23.6371	30.3645
105	125	169.6518	170.5096	0.3707	0.0447	2.0721	0.8054	28.3496	20.3876
106	126	173.3207	174.0526	2.1304	0.3345	11.3640	11.1664	0.0000	0.0000
107	127	167.2108	167.9739	1.9522	0.2400	10.3771	6.5305	23.1036	26.4240
108	128	159.9789	160.8285	0.5361	0.0594	2.7470	1.7142	32.1541	29.7916
109	129	172.4703	173.2423	1.5949	0.4726	8.6994	13.4531	22.7314	26.9205
110	130	156.3935	157.1922	0.8446	0.0829	4.4068	1.7529	20.4206	29.2723
111	131	163.5413	164.2739	2.1174	0.2308	11.4152	7.9589	23.5063	28.1973
112	134	168.9490	169.7608	2.5569	0.2373	13.8360	7.0413	25.8214	24.1532
113	135	176.5518	177.3163	1.4409	0.2472	7.6953	7.0910	26.7123	24.5542
114	136	163.1289	163.8996	1.8140	0.2805	9.6891	9.3414	24.1355	29.2584
115	137	155.6553	156.3671	0.4698	0.0937	2.4290	2.7500	0.0000	0.0000
116	139	164.0005	164.7746	2.1204	0.2983	11.1311	8.9400	23.7092	25.6260
117	141	163.9711	165.1215	0.5052	0.0184	2.6187	0.2968	32.2294	25.5131
118	142	162.7441	163.5307	0.4541	0.0525	2.3036	0.9318	23.3554	32.3712
119	143	175.9503	176.7074	1.9714	0.5309	10.4876	17.3173	26.1624	23.0104
120	145	163.1418	163.9159	1.5376	0.1621	8.1913	4.8367	20.9273	24.3654
121	146	167.3195	167.9830	1.2022	0.0696	6.2982	1.9803	0.0000	0.0000
122	147	174.0519	174.8342	0.9985	0.0716	5.2361	1.2714	0.0000	0.0000
123	148	160.5055	161.2931	0.8930	0.3280	4.8463	9.9376	0.0000	0.0000
124	149	179.1488	179.8713	1.9051	0.1682	11.1185	4.1355	26.4832	28.3327
125	150	160.3654	161.1188	1.5771	0.1090	8.4511	3.4626	0.0000	0.0000
126	151	168.0218	168.8118	0.7068	0.1035	3.8106	3.2307	21.2506	31.2619
127	152	168.2775	287.1321	1.0881	0.1159	5.6032	3.4178	0.0000	0.0000
128	153	155.9608	156.8012	0.7930	0.0877	4.3733	3.8889	21.1056	25.4522
129	155	165.6300	166.3881	1.7009	0.3293	9.0535	9.8820	24.4415	28.4014
130	156	176.7219	177.4613	1.4758	0.2048	8.6026	7.8264	28.6366	26.3208
131	157	158.2198	159.0450	0.6773	0.0957	3.6010	1.6261	28.6755	21.5364
132	159	162.5353	163.2907	1.3424	0.3175	7.1002	11.3918	0.0000	0.0000
133	160	177.1961	177.9557	1.8065	0.3072	9.4724	8.8059	25.4733	26.3741
134	161	174.9097	175.6763	2.1694	0.3471	11.3908	11.0761	30.7384	30.0800
135	163	166.6112	167.3996	1.8187	0.2908	9.5633	8.6919	0.0000	0.0000
136	164	160.7135	161.4753	2.0944	0.4841	11.2625	14.8520	29.4013	29.8244
137	165	167.9082	168.6795	1.6879	0.3231	9.0144	10.8110	29.7543	26.6407
138	166	178.8024	179.6402	0.9850	0.0813	5.6101	2.0325	22.9760	20.9727
139	167	165.1068	166.4027	0.5080	0.0294	2.6845	0.4068	25.5105	20.1019
140	168	170.2770	171.0390	1.0907	0.1235	6.4018	3.7432	20.2509	27.9017
141	169	178.3615	179.3180	0.6434	0.0397	3.3838	0.6526	27.5833	20.2621
142	170	155.7394	156.5115	1.5864	0.3396	8.5759	10.1342	31.2589	26.4597
143	171	156.8170	157.6599	0.6798	0.0567	3.5751	1.6861	19.3472	28.2700
144	172	166.4429	167.2388	0.8852	0.1194	4.8130	3.5264	30.8431	23.9063
145	173	165.2195	165.9599	1.6198	0.1546	8.6218	4.1288	0.0000	0.0000
