No	EventID	REF_MCP_timestamp	DUT_MCP_timestamp	REF_MCP_maxY	DUT_MCP_maxY	REF_MCP_e_peak	DUT_MCP_e_peak	TrackerX	TrackerY	
125	2968	159.9139	410.6560	0.0753	0.0029	0.4090	0.0528	23.7352	37.2645
126	2969	164.7952	966.5769	0.4456	0.0027	2.5516	0.0595	25.7314	32.4454
127	2970	157.7333	575.3758	0.2954	0.0023	1.6757	0.0525	0.0000	0.0000
128	2971	145.1296	941.1683	0.0756	0.0027	0.4972	0.0411	24.4813	33.7398
129	2974	163.6494	0.0000	0.1297	0.0024	0.6936	0.1144	24.4693	19.5567
130	2976	158.8226	171.8337	0.6072	0.0067	3.9184	0.4359	0.0000	0.0000
131	2980	146.4660	125.1191	0.0616	0.0021	0.3942	0.0398	26.6031	18.9020
132	2987	146.2770	158.7441	0.0453	0.0038	0.2526	0.1550	0.0000	0.0000
133	2990	164.6094	177.6199	0.0558	0.0210	0.3350	1.2400	0.0000	0.0000
134	2993	144.8175	823.7972	0.0888	0.0030	0.4975	0.0733	16.7011	26.4571
135	2994	165.3493	0.0000	0.0775	0.0027	0.4338	0.1256	34.3361	27.6776
136	2997	157.5029	425.0101	0.1416	0.0027	0.9011	0.0737	29.7706	31.4150
137	3000	158.6910	171.8310	0.4717	0.0057	2.6598	0.3054	21.7336	26.9237
138	3003	156.9965	170.1140	0.5530	0.0165	3.7070	0.8680	26.2264	28.3348
139	3005	162.7675	176.0085	0.6004	0.0073	4.1112	0.5608	23.2792	27.2710
140	3010	146.4054	0.0000	0.1805	0.0021	1.2758	0.0628	0.0000	0.0000
141	3012	148.6824	0.0000	0.4440	0.0038	2.5397	0.2896	0.0000	0.0000
142	3014	154.5229	167.5915	0.6313	0.0072	3.6903	0.4889	0.0000	0.0000
143	3015	152.9402	502.3471	0.1956	0.0022	1.1077	0.0855	0.0000	0.0000
144	3016	158.5885	980.1949	0.0403	0.0035	0.2215	0.1624	34.6976	30.1212
145	3017	143.8840	744.9729	0.4314	0.0023	2.8917	0.0489	27.1331	29.9534
146	3018	148.8258	161.9751	0.2243	0.0059	1.2661	0.2655	20.2039	24.6563
147	3019	165.5622	520.5896	0.0869	0.0024	0.4677	0.0390	0.0000	0.0000
148	3021	144.7245	157.7277	0.6488	0.0043	3.7478	0.2532	22.9499	24.8146
149	3022	162.4824	112.8936	0.1199	0.0026	0.6593	0.0386	34.7577	26.8524
150	3023	164.3535	0.0000	0.2499	0.0024	1.4170	0.0795	31.4530	27.7464
151	3028	151.3958	936.0398	0.0441	0.0023	0.3250	0.0632	16.2324	30.5294
152	3029	144.6050	601.2905	0.2393	0.0022	1.3437	0.1173	29.2506	18.0215
153	3030	147.6306	0.0000	0.1405	0.0029	0.7641	0.1268	0.0000	0.0000
154	3031	160.5376	174.2944	0.1632	0.0029	0.9366	0.0905	0.0000	0.0000
155	3032	161.4944	491.6093	0.1285	0.0022	0.7433	0.0528	18.7446	30.9238
156	3033	162.6753	550.8230	0.4092	0.0027	2.3486	0.0637	24.8169	31.3313
157	3035	164.4122	177.5256	0.4129	0.0030	2.8727	0.1452	28.1890	28.5942
158	3038	141.4428	156.8198	0.0525	0.0025	0.3529	0.0910	19.4727	31.7198
159	3041	152.6189	0.0000	0.0780	0.0025	0.5035	0.1138	0.0000	0.0000
160	3046	155.7716	168.3071	0.1686	0.0046	1.0136	0.2413	20.4257	30.0470
161	3047	161.2382	617.8955	0.2174	0.0029	1.2069	0.0921	19.5803	29.9283
162	3049	155.3317	168.1501	0.1742	0.0198	0.9661	1.1903	21.2473	27.6133
163	3050	142.4195	0.0000	0.0694	0.0026	0.4104	0.0981	24.4525	18.6062
164	3053	154.5659	589.7903	0.0565	0.0027	0.3406	0.0502	0.0000	0.0000
165	3056	142.0908	65.0570	0.4801	0.0029	2.7718	0.0470	30.5324	25.6762
166	3057	146.1609	334.6524	0.1263	0.0025	0.7042	0.0581	23.6221	32.3014
167	3058	146.2068	688.5738	0.4487	0.0022	2.5863	0.0620	30.6095	25.6359
168	3060	149.3748	0.0000	0.1194	0.0030	0.6608	0.0945	24.4181	34.6562
169	3061	154.5719	368.5064	0.2142	0.0026	1.4287	0.1284	26.3651	19.3171
170	3064	156.5648	0.0000	0.0389	0.0028	0.2074	0.1425	0.0000	0.0000
171	3065	141.1174	509.2818	0.3607	0.0023	2.2664	0.1033	22.5664	32.5162
172	3072	149.1999	162.2776	0.3678	0.0063	2.3892	0.4206	20.8045	24.1347
173	3074	143.7385	159.3020	0.0574	0.0027	0.3217	0.0428	15.8852	24.2076
174	3078	152.9502	339.8650	0.0408	0.0021	0.2704	0.0550	0.0000	0.0000
175	3080	142.3235	155.6159	0.4454	0.0086	2.5438	0.3741	25.4376	29.9255
176	3085	149.3906	102.2610	0.0407	0.0023	0.2251	0.0819	16.5662	24.6409
177	3086	158.1015	0.0000	0.0694	0.0031	0.3997	0.3084	31.9122	32.7960
178	3087	152.1369	0.0000	0.0681	0.0021	0.4405	0.0656	19.0437	29.1567
179	3091	141.4949	781.5010	0.0790	0.0030	0.4380	0.0610	0.0000	0.0000
180	3092	159.3206	0.0000	0.0606	0.0022	0.3226	0.0335	0.0000	0.0000
181	3094	150.7281	549.6283	0.0417	0.0022	0.2799	0.0941	34.4682	21.9193
182	3095	154.0083	166.4974	0.1580	0.0034	0.8620	0.0677	19.8452	22.3807
183	3097	152.7990	914.0382	0.1694	0.0030	0.9418	0.0633	22.8942	35.7360
184	3098	161.9133	407.7412	0.1327	0.0032	0.8040	0.1322	30.3400	29.1985
185	3100	163.1758	0.0000	0.0443	0.0027	0.3384	0.1081	0.0000	0.0000
