No	EventID	REF_MCP_timestamp	DUT_MCP_timestamp	REF_MCP_maxY	DUT_MCP_maxY	REF_MCP_e_peak	DUT_MCP_e_peak	TrackerX	TrackerY	
93	93198	21.7504	2.0055	0.1487	0.0554	4.2623	2.1432	28.0162	20.4729
94	93204	22.3265	2.5268	0.1377	0.1536	3.9295	5.9596	23.0499	29.9776
95	93207	21.8087	2.0037	0.1175	0.0622	3.5371	3.2629	19.1968	27.2382
96	93226	22.4069	2.5730	0.1467	0.1748	4.2148	6.9150	28.4662	24.8910
97	93232	21.6015	1.8701	0.1444	0.0491	4.2491	2.2810	27.7509	19.8950
98	93243	21.8688	2.1175	0.1246	0.0520	3.5342	2.1024	0.0000	0.0000
99	93244	22.1888	2.3682	0.1232	0.1067	3.5846	4.4924	29.5285	29.9601
100	93261	22.3070	2.4585	0.1305	0.1608	3.6620	5.7221	27.3049	24.9148
101	93276	22.2061	2.4077	0.1222	0.1433	3.5462	6.0361	22.4332	29.1985
102	93277	22.3369	2.5208	0.1505	0.1251	4.4767	5.2419	26.2924	22.8009
103	93316	21.8070	2.0838	0.1093	0.0594	3.1030	2.2362	25.8298	31.6610
104	93322	21.8133	2.0201	0.1694	0.0540	4.8570	2.1021	21.2907	22.7602
105	93326	22.3617	2.5592	0.1132	0.1372	3.3196	5.4177	21.3541	25.9174
106	93344	22.4147	2.5907	0.1229	0.2738	3.5496	10.5808	0.0000	0.0000
107	93354	21.7791	2.0760	0.1106	0.0510	3.0796	2.0769	22.3063	31.2606
108	93355	22.1456	2.2973	0.1224	0.0803	3.4106	3.9550	30.4029	23.4532
109	93356	22.2686	2.4370	0.1282	0.0989	3.6453	4.1009	0.0000	0.0000
110	93364	22.0537	2.2606	0.1343	0.0998	3.8846	4.4637	29.1295	21.4842
111	93382	22.0304	2.2343	0.1112	0.0794	3.2481	3.2902	28.2158	31.7418
112	93383	22.4518	2.6019	0.1182	0.2235	3.4041	9.2432	23.1766	23.6627
113	93398	22.2934	2.4657	0.1570	0.1370	4.4421	6.2558	0.0000	0.0000
114	93418	22.3786	2.5425	0.1238	0.1791	3.5591	6.9747	23.2247	27.9299
115	93430	21.6925	1.8771	0.0975	0.0451	2.9307	1.8955	24.6553	31.1971
116	93433	22.2674	2.4340	0.1290	0.1313	3.7316	5.2426	26.2196	24.3340
117	93451	21.5913	1.8750	0.1121	0.0451	3.2752	1.8798	0.0000	0.0000
118	93452	22.2749	2.4307	0.1225	0.1477	3.4926	5.6577	24.1339	29.1224
119	93455	22.1526	2.3407	0.2755	0.0877	7.7774	3.9315	0.0000	0.0000
120	93472	22.1055	2.2914	0.1416	0.1008	4.1151	4.1088	30.6075	28.8811
121	93477	22.4839	2.6220	0.1271	0.4283	3.6872	16.4564	24.6885	29.8139
122	93478	22.3656	2.5604	0.1498	0.1802	4.2659	6.5162	0.0000	0.0000
123	93482	22.3045	2.4691	0.1155	0.2525	3.3439	10.2697	28.4613	19.5909
124	93498	21.7718	2.0409	0.1225	0.0477	3.5557	2.0493	30.6769	21.4486
125	93509	22.2396	2.4461	0.1135	0.0955	3.1972	3.4165	28.0369	30.5679
126	93513	22.1494	2.3328	0.1297	0.1253	3.6886	5.2774	22.7863	29.8849
127	93517	22.4458	2.5951	0.1537	0.2980	4.3467	11.7612	25.6939	27.6497
128	93526	22.2379	2.4162	0.1347	0.1560	3.9102	5.8234	0.0000	0.0000
129	93529	22.1086	2.3466	0.1181	0.0882	3.5239	3.3603	20.6273	27.0822
130	93545	22.2721	2.4345	0.1203	0.1590	3.4932	6.6218	24.9225	28.7730
131	93553	22.1700	2.4203	0.1265	0.1084	3.7252	4.5359	0.0000	0.0000
132	93582	21.9025	2.1481	0.1072	0.0618	3.1799	2.2818	0.0000	0.0000
133	93585	22.3633	2.5135	0.1019	0.2256	2.9263	10.2681	0.0000	0.0000
134	93586	21.9778	2.2068	0.1187	0.0810	3.5176	3.3396	28.4619	27.2711
135	93599	21.8528	2.0497	0.1185	0.0662	3.3592	2.4793	27.2364	19.4977
136	93603	22.6519	2.8176	0.0962	0.3821	2.8855	15.2420	31.2620	24.6821
137	93612	22.3266	2.5205	0.1307	0.1908	3.7934	7.7232	27.7045	27.9967
138	93625	22.5074	2.6676	0.1143	0.4112	3.3966	15.6255	0.0000	0.0000
139	93636	21.8764	2.2079	0.1110	0.0612	3.1819	2.7927	29.0461	32.2982
140	93639	22.3887	2.5565	0.1251	0.2148	3.5876	8.1409	24.6732	27.7745
141	93651	21.5381	1.9784	0.1082	0.0558	3.3529	1.6562	0.0000	0.0000
142	93658	22.1705	2.3657	0.1371	0.1014	3.8275	3.5940	27.8507	24.8200
143	93659	21.2695	1.6284	0.1226	0.0412	3.6039	1.5632	31.4814	24.2043
144	93673	22.2160	2.4292	0.1235	0.1319	3.6214	5.5262	24.2139	29.9271
145	93677	22.3294	2.5115	0.1377	0.1850	3.9362	8.1716	27.7224	29.2140
146	93689	22.5059	2.6344	0.1320	0.1645	3.7816	6.6230	28.7028	26.6982
