;Reco;X;Y;BadFlag;SigmaOutNoise;Baseline;risetime;Amplitude
136;TRUE;27.2064;30.1624;FALSE;43.71877252;-0.000712412;1.07E-07;0.018523598
137;FALSE;;;;;;;
138;TRUE;27.1485;22.291;FALSE;127.0466486;-0.000535761;8.19E-08;0.073238816
139;TRUE;25.0908;26.8051;FALSE;181.7369443;-0.000558799;7.96E-08;0.077068577
140;TRUE;25.9033;26.7464;FALSE;265.6457935;-0.000902483;7.95E-08;0.117445258
141;TRUE;31.8305;23.8189;FALSE;82.11979637;-0.000415047;9.07E-08;0.032597652
142;FALSE;;;;;;;
143;TRUE;32.4953;23.095;FALSE;26.32344494;-0.000944174;1.17E-07;0.010977996
144;TRUE;33.4016;28.2315;FALSE;58.84569585;-0.000775389;9.54E-08;0.025333398
145;TRUE;32.2446;26.7279;FALSE;62.89799796;-0.000650675;8.46E-08;0.026078193
146;TRUE;32.8305;30.6538;TRUE;4.015980035;-0.000268177;1.00E-10;0.001740485
147;TRUE;23.1038;26.53;FALSE;146.0121396;-0.000532144;8.07E-08;0.062752946
148;FALSE;;;;;;;
149;FALSE;;;;;;;
150;TRUE;30.5445;32.3019;TRUE;4.434083722;-0.000299888;3.00E-10;0.001874817
151;TRUE;26.834;30.4397;FALSE;20.8653498;-0.000291172;1.09E-07;0.0087641
152;TRUE;27.4781;28.7843;FALSE;96.06931421;-0.00082131;8.39E-08;0.040841383
153;TRUE;28.2585;22.7789;FALSE;242.3347315;-0.000445852;8.49E-08;0.100537038
154;TRUE;32.2531;26.2425;FALSE;99.68739483;-0.000220936;8.13E-08;0.04491058
155;TRUE;31.3297;29.4655;TRUE;4.811787762;-0.000372017;2.00E-10;0.00203879
156;FALSE;;;;;;;
157;FALSE;;;;;;;
158;TRUE;28.1015;31.8134;FALSE;14.4252434;-0.000246428;9.56E-08;0.006520509
159;FALSE;;;;;;;
160;TRUE;29.1051;26.4769;FALSE;182.7093674;-0.000475305;7.82E-08;0.077855175
161;FALSE;;;;;;;
162;TRUE;30.2584;24.9824;FALSE;132.9629593;-0.000365664;8.21E-08;0.057932838
163;TRUE;32.6525;21.4952;FALSE;17.97591742;-0.000458387;1.33E-07;0.007652494
164;TRUE;30.8761;23.6556;FALSE;76.76246807;-0.000781199;9.03E-08;0.030853832
165;TRUE;28.8054;22.4561;FALSE;197.8911793;-0.000687176;8.09E-08;0.079140319
166;TRUE;26.2911;27.0211;FALSE;211.2108759;-0.000907083;7.85E-08;0.090906914
167;TRUE;30.6904;25.8124;FALSE;341.0024227;-0.000578791;7.73E-08;0.140686006
168;TRUE;27.3002;23.2775;FALSE;168.2336254;-0.000194413;8.18E-08;0.077591228
169;TRUE;26.5871;25.9123;FALSE;241.9136946;-0.000509135;8.13E-08;0.101246909
170;TRUE;30.5734;24.1978;FALSE;322.3111399;-0.000472336;8.08E-08;0.136309178
171;TRUE;37.5214;26.7062;TRUE;4.330541164;-0.000370295;3.00E-10;0.00169026
172;FALSE;;;;;;;
173;TRUE;27.702;19.6757;FALSE;113.4240373;-0.000776108;8.53E-08;0.045860205
174;TRUE;27.3843;30.818;FALSE;62.50956191;-0.000228228;9.50E-08;0.027159637
175;TRUE;33.4156;28.2691;FALSE;5.438261844;-0.000578088;2.30E-09;0.002258214
176;FALSE;;;;;;;
177;TRUE;26.4466;27.4965;FALSE;179.2651446;-0.000759274;7.92E-08;0.077083446
178;FALSE;;;;;;;
179;FALSE;;;;;;;
180;FALSE;;;;;;;
181;TRUE;31.4415;20.5068;FALSE;161.2063377;-0.000633388;8.17E-08;0.071628608
182;TRUE;29.8423;26.6364;FALSE;143.2932974;-0.0004812;8.28E-08;0.059864345
183;FALSE;;;;;;;
184;TRUE;32.3349;24.5203;FALSE;19.13127668;-0.000498911;9.34E-08;0.00870684
185;FALSE;;;;;;;
186;TRUE;27.5756;22.2484;FALSE;142.8356116;-0.000743328;8.32E-08;0.064814532
187;FALSE;;;;;;;
188;TRUE;28.6609;23.7307;FALSE;171.8661152;-0.000608808;8.33E-08;0.071310715
189;FALSE;;;;;;;
190;TRUE;23.8313;29.0752;FALSE;44.20142606;-0.000821989;1.06E-07;0.021039635
191;FALSE;;;;;;;
192;TRUE;28.5995;32.6167;FALSE;8.064668751;-0.000762846;6.59E-08;0.003355127
193;TRUE;29.8134;23.5271;FALSE;220.7597083;-0.000642064;8.11E-08;0.092902449
194;FALSE;;;;;;;
195;FALSE;;;;;;;
196;TRUE;25.5102;23.5753;FALSE;159.021362;-0.000460259;8.32E-08;0.066677638
197;FALSE;;;;;;;
198;TRUE;28.4032;30.8607;FALSE;56.2504164;-0.00061156;9.39E-08;0.024106587
199;FALSE;;;;;;;
200;FALSE;;;;;;;
201;TRUE;26.2035;23.9558;FALSE;238.9521923;-0.000881059;8.20E-08;0.09717785
202;TRUE;26.936;31.225;FALSE;39.13004525;-0.00054609;1.09E-07;0.016523529
203;TRUE;31.5963;28.378;FALSE;72.01488664;-0.0004031;8.75E-08;0.030674117
204;FALSE;;;;;;;
205;TRUE;29.023;30.6465;FALSE;48.64482387;-0.000552469;1.11E-07;0.02066832
206;TRUE;27.2765;22.7257;FALSE;153.8729628;-0.000456267;8.38E-08;0.069177515
207;TRUE;30.6166;26.2414;FALSE;128.5303857;-0.000707119;8.22E-08;0.054008406
208;TRUE;27.7153;26.2411;FALSE;279.4006473;-0.000509351;7.89E-08;0.117573754
209;TRUE;29.1739;28.8229;FALSE;128.2019811;-0.000697648;8.15E-08;0.059256131
210;TRUE;33.0962;27.0338;FALSE;23.71907688;-0.000460841;9.50E-08;0.009717841
211;FALSE;;;;;;;
212;FALSE;;;;;;;
213;TRUE;28.8014;25.7752;FALSE;145.3427318;-0.000291315;8.05E-08;0.064319554
214;TRUE;29.335;30.1846;TRUE;3.406154026;-0.000526596;2.00E-10;0.001440551
215;TRUE;31.7701;23.1908;FALSE;66.57025606;-0.000546027;9.21E-08;0.027586457
216;TRUE;25.9307;27.3624;FALSE;253.7229438;-0.000423352;7.96E-08;0.103973871
217;TRUE;32.7579;29.0107;FALSE;18.21670438;-0.000487556;1.11E-07;0.007799748
218;TRUE;27.8371;25.167;FALSE;192.4615892;-0.000535756;7.84E-08;0.087487705
219;FALSE;;;;;;;
220;TRUE;31.5875;21.9717;FALSE;44.46803356;-0.00040227;9.81E-08;0.019739212
221;TRUE;24.4293;22.639;FALSE;339.0677239;-0.000724714;7.14E-08;0.152791206
222;FALSE;;;;;;;
223;FALSE;;;;;;;
224;TRUE;29.685;31.3313;FALSE;5.191626145;-0.000702603;3.70E-09;0.002138884
225;TRUE;23.6003;27.1732;FALSE;219.3324904;-0.000367436;7.89E-08;0.094552156
226;FALSE;;;;;;;
227;FALSE;;;;;;;
228;FALSE;;;;;;;
229;FALSE;;;;;;;
230;FALSE;;;;;;;
231;FALSE;;;;;;;
232;TRUE;30.2671;31.0031;TRUE;3.927101794;-0.000740922;1.00E-10;0.001617992
233;TRUE;31.7994;30.583;TRUE;3.288522744;-0.000699579;2.00E-10;0.001311676
234;TRUE;28.7027;25.3343;FALSE;118.5328785;-0.000952957;8.34E-08;0.050540226
235;FALSE;;;;;;;
236;TRUE;31.6209;20.6296;FALSE;15.92388057;-0.000228038;1.04E-07;0.006598575
237;TRUE;31.268;23.2922;FALSE;183.6142393;-0.00066981;8.11E-08;0.078462367
238;FALSE;;;;;;;
239;FALSE;;;;;;;
240;FALSE;;;;;;;
241;TRUE;31.221;30.0511;TRUE;4.442752602;-0.000334929;2.00E-10;0.001894263
242;TRUE;32.8016;26.8306;FALSE;14.80089958;-0.000573494;1.16E-07;0.006343923
243;TRUE;30.1017;22.2989;FALSE;169.7392876;-0.000719703;8.32E-08;0.069339575
244;FALSE;;;;;;;
245;TRUE;28.0065;29.2528;FALSE;69.10100244;-0.000186069;8.71E-08;0.030896338
246;FALSE;;;;;;;
247;FALSE;;;;;;;
248;TRUE;30.9846;28.2635;FALSE;57.43305727;-0.000289766;9.57E-08;0.024150772
249;TRUE;31.0603;22.2105;FALSE;125.2107699;-0.000624284;8.17E-08;0.04968322
250;FALSE;;;;;;;
251;FALSE;;;;;;;
252;FALSE;;;;;;;
253;TRUE;33.9311;27.9635;TRUE;4.436321272;-0.000569041;2.00E-10;0.001808037
